"car_code","section_key","score","rating","status","remarks"
"CAR006","core_systems","9.5","excellent","flawless","Core systems functioning well with excellent performance"
"CAR006","supporting_systems","9.1","excellent","flawless","Supporting systems in good condition, all components operational"
"CAR006","interiors_ac","9.2","excellent","flawless","Interiors and AC systems functioning properly, well maintained"
"CAR005","exteriors_lights","8.7","good","minor","Exterior and lighting systems in acceptable condition"
"CAR006","wear_tear_parts","8.4","good","minor","Wear and tear parts showing expected usage, replacement may be needed soon"
"CAR007","core_systems","8.5","good","minor","Core systems functioning well with excellent performance"
"CAR007","supporting_systems","8.0","good","minor","Supporting systems in good condition, all components operational"
"CAR007","interiors_ac","8.2","good","minor","Interiors and AC systems functioning properly, well maintained"
"CAR007","exteriors_lights","7.9","fair","minor","Exterior and lighting systems in acceptable condition"
"CAR007","wear_tear_parts","7.6","fair","minor","Wear and tear parts showing expected usage, replacement may be needed soon"
"CAR008","core_systems","9.7","excellent","flawless","Core systems functioning well with excellent performance"
"CAR008","supporting_systems","9.2","excellent","flawless","Supporting systems in good condition, all components operational"
"CAR008","interiors_ac","9.4","excellent","flawless","Interiors and AC systems functioning properly, well maintained"
"CAR008","exteriors_lights","9.0","excellent","flawless","Exterior and lighting systems in acceptable condition"
"CAR008","wear_tear_parts","8.8","good","minor","Wear and tear parts showing expected usage, replacement may be needed soon"
"CAR009","core_systems","7.8","fair","minor","Core systems functioning well with excellent performance"
"CAR009","supporting_systems","7.5","fair","minor","Supporting systems in good condition, all components operational"
"CAR009","interiors_ac","7.2","fair","minor","Interiors and AC systems functioning properly, well maintained"
"CAR009","exteriors_lights","7.0","fair","minor","Exterior and lighting systems in acceptable condition"
"CAR009","wear_tear_parts","6.5","fair","minor","Wear and tear parts showing expected usage, replacement may be needed soon"
"CAR010","core_systems","9.3","excellent","flawless","Core systems functioning well with excellent performance"
"CAR010","supporting_systems","8.6","good","minor","Supporting systems in good condition, all components operational"
"CAR010","interiors_ac","8.7","good","minor","Interiors and AC systems functioning properly, well maintained"
"CAR010","exteriors_lights","8.3","good","minor","Exterior and lighting systems in acceptable condition"
"CAR010","wear_tear_parts","8.1","good","minor","Wear and tear parts showing expected usage, replacement may be needed soon"
"CAR011","core_systems","9.1","excellent","flawless","Core systems functioning well with excellent performance"
"CAR011","supporting_systems","8.9","good","minor","Supporting systems in good condition, all components operational"
"CAR011","interiors_ac","8.8","good","minor","Interiors and AC systems functioning properly, well maintained"
"CAR011","exteriors_lights","8.4","good","minor","Exterior and lighting systems in acceptable condition"
"CAR011","wear_tear_parts","8.0","good","minor","Wear and tear parts showing expected usage, replacement may be needed soon"
"CAR012","core_systems","9.6","excellent","flawless","Core systems functioning well with excellent performance"
"CAR012","supporting_systems","9.0","excellent","flawless","Supporting systems in good condition, all components operational"
"CAR012","interiors_ac","9.3","excellent","flawless","Interiors and AC systems functioning properly, well maintained"
"CAR012","exteriors_lights","9.1","excellent","flawless","Exterior and lighting systems in acceptable condition"
"CAR012","wear_tear_parts","8.7","good","minor","Wear and tear parts showing expected usage, replacement may be needed soon"
"CAR013","core_systems","8.2","good","minor","Core systems functioning well with excellent performance"
"CAR013","supporting_systems","7.9","fair","minor","Supporting systems in good condition, all components operational"
"CAR013","interiors_ac","7.8","fair","minor","Interiors and AC systems functioning properly, well maintained"
"CAR013","exteriors_lights","7.6","fair","minor","Exterior and lighting systems in acceptable condition"
"CAR013","wear_tear_parts","7.3","fair","minor","Wear and tear parts showing expected usage, replacement may be needed soon"
"CAR014","core_systems","9.0","excellent","flawless","Core systems functioning well with excellent performance"
"CAR014","supporting_systems","8.7","good","minor","Supporting systems in good condition, all components operational"
"CAR014","interiors_ac","8.8","good","minor","Interiors and AC systems functioning properly, well maintained"
"CAR014","exteriors_lights","8.6","good","minor","Exterior and lighting systems in acceptable condition"
"CAR014","wear_tear_parts","8.3","good","minor","Wear and tear parts showing expected usage, replacement may be needed soon"
"CAR015","core_systems","8.3","good","minor","Core systems functioning well with excellent performance"
"CAR015","supporting_systems","8.1","good","minor","Supporting systems in good condition, all components operational"
"CAR015","interiors_ac","7.9","fair","minor","Interiors and AC systems functioning properly, well maintained"
"CAR015","exteriors_lights","7.7","fair","minor","Exterior and lighting systems in acceptable condition"
"CAR015","wear_tear_parts","7.4","fair","minor","Wear and tear parts showing expected usage, replacement may be needed soon"
"CAR016","core_systems","9.5","excellent","flawless","Core systems functioning well with excellent performance"
"CAR016","supporting_systems","9.3","excellent","flawless","Supporting systems in good condition, all components operational"
"CAR016","interiors_ac","9.4","excellent","flawless","Interiors and AC systems functioning properly, well maintained"
"CAR016","exteriors_lights","9.2","excellent","flawless","Exterior and lighting systems in acceptable condition"
"CAR016","wear_tear_parts","8.9","good","minor","Wear and tear parts showing expected usage, replacement may be needed soon"
"CAR017","core_systems","8.1","good","minor","Core systems functioning well with excellent performance"
"CAR017","supporting_systems","7.8","fair","minor","Supporting systems in good condition, all components operational"
"CAR017","interiors_ac","7.7","fair","minor","Interiors and AC systems functioning properly, well maintained"
"CAR017","exteriors_lights","7.5","fair","minor","Exterior and lighting systems in acceptable condition"
"CAR017","wear_tear_parts","7.2","fair","minor","Wear and tear parts showing expected usage, replacement may be needed soon"
"CAR018","core_systems","9.2","excellent","flawless","Core systems functioning well with excellent performance"
"CAR018","supporting_systems","8.8","good","minor","Supporting systems in good condition, all components operational"
"CAR018","interiors_ac","8.9","good","minor","Interiors and AC systems functioning properly, well maintained"
"CAR018","exteriors_lights","8.5","good","minor","Exterior and lighting systems in acceptable condition"
"CAR018","wear_tear_parts","8.2","good","minor","Wear and tear parts showing expected usage, replacement may be needed soon"
"CAR019","core_systems","8.4","good","minor","Core systems functioning well with excellent performance"
"CAR019","supporting_systems","8.2","good","minor","Supporting systems in good condition, all components operational"
"CAR019","interiors_ac","8.0","good","minor","Interiors and AC systems functioning properly, well maintained"
"CAR019","exteriors_lights","7.9","fair","minor","Exterior and lighting systems in acceptable condition"
"CAR019","wear_tear_parts","7.7","fair","minor","Wear and tear parts showing expected usage, replacement may be needed soon"
"CAR020","core_systems","9.4","excellent","flawless","Core systems functioning well with excellent performance"
"CAR020","supporting_systems","9.1","excellent","flawless","Supporting systems in good condition, all components operational"
"CAR020","interiors_ac","9.2","excellent","flawless","Interiors and AC systems functioning properly, well maintained"
"CAR020","exteriors_lights","8.9","good","minor","Exterior and lighting systems in acceptable condition"
"CAR020","wear_tear_parts","8.6","good","minor","Wear and tear parts showing expected usage, replacement may be needed soon"
